"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"708","PUF18","3275","17607","NA","flanker","goaarv0o6arjsi77fqu3bctov0","H8xd8-1NnF","3.69048","2018-11-20 11:12:38","42","31","4","0","2.18639","16","5","1181.6","918","568.04","918","0.3125","16","16","895.375","729.5","694.835","724","1","2018-12-20 17:51:57"
"709","PUF18","3275","17606","NA","flanker","np3labov68tjm17b4hcd3esfu6","-YsUtqqHFH","5.54769","2018-10-23 11:01:20","42","38","5","1","1.02388","16","12","1804.58","1723","808.685","1723","0.75","16","16","917.25","895","273.176","895","1","2018-12-20 17:52:00"
"710","PUF18","3275","17605","NA","flanker","6on4p5vpno07sg33386h2lddd4","OGWhp9JDtG","7.55835","2018-10-30 10:58:55","42","42","5","1","2.55835","16","16","914.5","750.5","429.417","750.5","1","16","16","834.125","598.5","524.026","598.5","1","2018-12-20 17:52:02"
"711","PUF18","3275","17604","NA","flanker","nucbdloeoc419ncim110i490l7","7NbMppaU9z","3.57143","2018-10-23 11:01:28","42","30","4","0","1.99367","16","5","1420.6","1019","974.654","1019","0.3125","16","15","775.333","735","245.125","735","0.9375","2018-12-20 17:52:04"
"712","PUF18","3275","17603","NA","flanker","4tfc0fk2dfke5c78hlb5jsi6v1","OWLtyi5@0V","7.7984","2018-10-30 10:56:07","42","42","5","1","2.7984","16","16","856.5","661","707.806","659","1","16","16","634.25","621","96.4237","621","1","2018-12-20 17:52:05"
"713","PUF18","3275","17602","NA","flanker","93jfgs60tl76v67s6gtt7bujc0","5pEd~a2Qx5","6.98486","2018-11-20 11:13:40","42","40","5","1","2.22295","16","14","1153.79","918","801.2","900","0.875","16","16","1482.81","722.5","2361.25","706","1","2018-12-20 17:52:07"
"714","PUF18","3275","17601","NA","flanker","v2t16ddk5p2e8rqah2hrs8ore1","@BGaHLbjTz","8.20958","2018-10-23 10:59:37","42","41","5","1","3.32863","16","16","542.875","494.5","173.61","494.5","1","16","15","587.4","496","267.69","492.5","0.9375","2018-12-20 17:52:08"
"715","PUF18","3275","17600","NA","flanker","uui3op5c58i4ot7l8sot9vubf1","tI6rwbUPB4","6.53477","2018-10-30 11:00:43","42","38","5","1","2.01096","16","12","1468.42","1009.5","1174.56","1009.5","0.75","16","16","822.062","708.5","301.853","708.5","1","2018-12-20 17:52:10"
"716","PUF18","3275","17599","NA","flanker","m9c001pi2pk5korkd4v0rha1m6","FoitkBIu~i","8.06079","2018-10-23 11:05:14","42","41","5","1","3.17984","16","15","589.867","555","133.821","536","0.9375","16","16","510.625","503.5","67.076","503.5","1","2018-12-20 17:52:12"
"717","PUF18","3275","17597","NA","flanker","n79ohfvsqms1fvf3o1sf7tb062","MxdB-EWH1M","7.67121","2018-10-30 10:25:50","42","42","5","1","2.67121","16","16","750.125","706","150.932","706","1","16","16","691.562","684.5","134.329","684.5","1","2018-12-20 17:52:17"
"718","PUF18","3275","17596","NA","flanker","b1883eev88bsp9nkieg67k7tj0","Gc6Gp6oh1s","8.08856","2018-10-23 10:25:24","42","41","5","1","3.20761","16","15","634","528","268.162","528","0.9375","16","16","511.438","519.5","155.713","519.5","1","2018-12-20 17:52:18"
"719","PUF18","3275","17595","NA","flanker","d7gcu6jdkv06h00476i3v0iet4","ErPeP5GZkE","7.95211","2018-10-23 10:23:15","42","40","5","1","3.1902","16","15","2460.67","538","7418.71","533","0.9375","16","15","698.267","527","510.948","523","0.9375","2018-12-20 17:52:20"
"720","PUF18","3275","17594","NA","flanker","k7cs1fepgu8g05f4f3jf4psri3","S6vodnmYCp","7.76452","2018-10-23 10:23:27","42","40","5","1","3.00261","16","15","623.533","590","115.98","590","0.9375","16","15","649.6","672","158.664","672","0.9375","2018-12-20 17:52:22"
"721","PUF18","3275","17592","NA","flanker","t97eo4t3262oisf23jtddj1ks0","Al8Q@1DXC-","8.13459","2018-10-23 10:26:37","42","41","5","1","3.25363","16","15","563.6","515","161.55","515","0.9375","16","16","475.188","435","142.557","424","1","2018-12-20 17:52:27"
