"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"984","FA18UCpost","3625","16840","NA","dccs","qld6lb4aija9iqga82iki4imf0","pub_~oZ8D7dvSe","8.02819","2018-11-27 11:24:34","39","37","5","1","3.2846","6","6","732.833","661","299.042","661","1","23","21","872.143","835","328.621","835","0.913043","2019-03-20 16:51:14"
"983","FA18UCpost","3625","16841","NA","dccs","q0oml9v1nmfe73146gl57rmgm2","pub_xeVxyDEgbh","5.25734","2018-11-27 11:19:16","38","32","4","1","1.04682","6","2","1852.5","1852.5","700.743","1852.5","0.333333","22","20","1548.5","1020","1515.85","916","0.909091","2019-03-20 16:51:12"
"982","FA18UCpost","3625","16842","NA","dccs","rqcjl42p6hcmab4nk0drkmi8n2","pub_Uy~fGUMMJB","3.94737","2018-11-27 11:20:28","38","30","4","0","3.36832","6","5","602.4","636","152.04","636","0.833333","22","15","681.267","661","114.923","661","0.681818","2019-03-20 16:51:09"
"981","FA18UCpost","3625","16843","NA","dccs","b7hh0tbg219s85hjbf2b9931e2","pub_R-fI6-THix","8.26498","2018-11-27 11:18:12","39","39","5","1","3.26498","6","6","682.5","667","164.426","667","1","23","23","715.826","625","272.211","625","1","2019-03-20 16:51:07"
"980","FA18UCpost","3625","16844","NA","dccs","q292oob50rgra8arhgtp5fk2m1","pub_9GerLeG3Gv","8.15968","2018-11-27 11:20:01","39","38","5","1","3.28789","6","6","647.167","660","156.403","660","1","23","22","910","638.5","637.395","637","0.956522","2019-03-20 16:51:04"
"979","FA18UCpost","3625","16845","NA","dccs","v3utm7ghvetig6hfo5nbhkud26","pub_692Mcb7P6k","7.0024","2018-11-27 12:42:53","39","39","5","1","2.0024","6","6","1215.5","1193","544.062","1193","1","23","23","1107.13","840","828.441","802.5","1","2019-03-20 16:51:01"
"978","FA18UCpost","3625","16846","NA","dccs","39momjnh4uan9onlueonbsqke6","pub_RaivEkPANF","7.53746","2018-11-27 12:46:16","39","38","5","1","2.66566","6","6","1031.33","879","526.996","879","1","23","22","849.091","747","351.845","747","0.956522","2019-03-20 16:50:58"
"977","FA18UCpost","3625","16847","NA","dccs","c6n09iudb6ijem9o3uoj3g1723","pub_QVtY@66t~u","3.58974","2018-11-27 12:49:26","39","28","4","0","0","6","0","0","0","0","0","0","23","18","1240.39","951","633.296","951","0.782609","2019-03-20 16:50:54"
"976","FA18UCpost","3625","16848","NA","dccs","d0nmn0nrnqpk7ui6q7vpeo2jv6","pub_7lG1Y~z26z","8.03812","2018-11-27 12:45:48","39","38","5","1","3.16633","6","5","790.8","698","290.044","698","0.833333","23","23","551.87","545","161.992","545","1","2019-03-20 16:50:52"
"975","FA18UCpost","3625","16850","NA","dccs","tirpnjuv199k4ssa22i9uh7hh1","pub_gdn__afJ9-","6.65009","2018-11-27 12:47:48","39","35","4","1","2.16291","6","3","1273","1108","490.764","1108","0.5","23","22","1167.41","1133","437.546","1133","0.956522","2019-03-20 16:50:47"
"974","FA18UCpost","3625","16851","NA","dccs","kebuqiqq3s30u0i3b8rt3l2rr3","pub_ehVd6izW7O","2.17949","2018-11-27 12:42:29","39","17","2","0","3.70562","6","6","543.167","544.5","72.6455","544.5","1","23","1","553","553","0","553","0.0434783","2019-03-20 16:50:44"
"973","FA18UCpost","3625","16852","NA","dccs","3crffljecjq50f0a41s78f6vs2","pub_IRz-enccBG","5.88418","2018-11-27 12:45:25","39","33","4","1","1.65342","6","2","1401","1401","446.891","1401","0.333333","23","21","1464.33","1171","817.939","1151","0.913043","2019-03-20 16:50:41"
"972","FA18UCpost","3625","16853","NA","dccs","vnftu9kh5l73gr9jeg8atbfrg6","pub_5ob-DRBUop","6.53748","2018-11-27 12:43:53","39","33","4","1","2.30671","6","4","2093.25","1037","2539.56","1037","0.666667","23","19","414.579","402","281.966","440","0.826087","2019-03-20 16:50:37"
"971","FA18UCpost","3625","16854","NA","dccs","l3ck2mka1tuqiuhvlahkrd8i90","pub_1uJCsa~Q~m","3.20513","2018-11-27 12:54:14","39","25","3","0","5","6","3","176","141","66.7757","300","0.5","23","12","329.5","145.5","476.676","300","0.521739","2019-03-20 16:50:33"
"970","FA18UCpost","3625","16855","NA","dccs","a8o05gmfn0hv8cv614u75rs0n5","pub_M3IgsnHL~w","7.49506","2018-11-27 12:43:37","39","36","5","1","2.87968","6","4","796.25","796.5","48.6236","796.5","0.666667","23","22","1083.82","823","1037.41","821","0.956522","2019-03-20 16:50:31"
"969","FA18UCpost","3625","16856","NA","dccs","00cp2lt58134vtmbojes6m6pd5","pub_4-RWe@11vl","3.97436","2018-11-27 12:43:26","39","31","4","0","3.2715","6","3","708.333","665","82.9719","665","0.5","23","18","728.5","635.5","341.411","620","0.782609","2019-03-20 16:50:28"
"968","FA18UCpost","3625","16857","NA","dccs","1ukri1dsempprpsbbnb97t0122","pub_7uKeJgc_TU","8.51397","2018-11-27 12:42:52","39","37","5","1","3.77038","6","4","538.75","528.5","153.315","528.5","0.666667","23","23","454.87","448","81.6418","448","1","2019-03-20 16:50:21"
"967","FA18UCpost","3625","16858","NA","dccs","fl0cvlvqmcdfu1u4cqnard0dt4","pub_~MFqckPFIV","6.42768","2018-11-27 12:44:04","39","35","4","1","1.9405","6","2","1227.5","1227.5","218.496","1227.5","0.333333","23","23","1098.52","674","1072.44","667.5","1","2019-03-20 16:50:17"
