"userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","dateTime.x","dateTime.y","DiffScore","DiffAccuracy","DiffRT","ImproverScore","ImproverAccuracy","ImproverRT","AllImprove","ImprovedPostScoreGT7"
16955,7.15408,7.17263,4,5,2.6669,2.55725,"2018-10-16 09:38:33","2018-12-04 09:31:48",0.0185499999999994,1,-0.10965,1,1,0,0,0
16956,3.84615,5.64832,4,4,1.49792,1.27332,"2018-10-16 09:45:06","2018-12-04 09:33:10",1.80217,0,-0.2246,1,0,0,0,0
16957,7.9419,7.58508,5,5,2.9419,2.73213,"2018-10-23 09:39:24","2018-12-04 09:32:26",-0.356820000000001,0,-0.20977,0,0,0,0,1
16959,2.375,7.40802,2,5,2.80202,2.66443,"2018-10-30 09:32:04","2018-12-04 09:33:06",5.03302,3,-0.13759,1,1,0,0,1
16960,7.23297,7.60126,4,4,2.98297,3.11408,"2018-11-20 09:41:22","2018-12-04 09:30:49",0.36829,0,0.13111,1,0,1,0,1
16967,7.15037,3.71795,4,4,2.66319,3.13697,"2018-10-09 10:08:17","2018-12-04 10:06:41",-3.43242,0,0.47378,0,0,1,0,0
16968,2.05128,3.58974,2,4,3.25361,1.35553,"2018-10-09 10:09:35","2018-12-04 10:11:54",1.53846,2,-1.89808,1,1,0,0,0
16969,6.83073,8.22786,4,5,2.59997,3.22786,"2018-10-09 10:08:29","2018-12-04 10:09:27",1.39713,1,0.62789,1,1,1,1,1
16970,2.94872,3.84615,3,4,2.58088,2.29835,"2018-10-09 10:08:57","2018-12-04 10:07:06",0.89743,1,-0.28253,1,1,0,0,0
16971,3.71795,3.97436,4,4,2.90022,3.21987,"2018-10-09 10:13:41","2018-12-04 10:11:40",0.25641,0,0.31965,1,0,1,0,0
16972,2.69231,6.19753,3,4,1.85806,1.83856,"2018-10-09 10:11:38","2018-12-04 10:11:15",3.50522,1,-0.0195000000000001,1,1,0,0,0
16973,3.58974,7.07948,4,5,1.915,2.4641,"2018-10-09 10:13:17","2018-12-04 10:14:31",3.48974,1,0.5491,1,1,1,1,0
16974,0,3.07692,4,3,0,5,"2018-10-16 10:24:08","2018-12-04 10:18:12",3.07692,-1,5,1,0,1,0,0
16975,5,3.71795,5,4,0,2.63866,"2018-10-23 10:22:39","2018-12-04 10:09:34",-1.28205,-1,2.63866,0,0,1,0,0
16976,3.97436,2.4359,4,2,0,1.98428,"2018-10-16 10:25:38","2018-12-04 10:13:05",-1.53846,-2,1.98428,0,0,1,0,0
16977,3.71795,7.20788,4,4,2.4328,2.7207,"2018-10-09 10:11:57","2018-12-04 10:07:56",3.48993,0,0.2879,1,0,1,0,1
16979,3.84615,2.17949,4,2,0,1.67679,"2018-10-16 10:23:23","2018-12-11 10:09:42",-1.66666,-2,1.67679,0,0,1,0,0
16980,2.05128,2.05128,2,2,3.07495,2.64844,"2018-10-09 10:16:52","2018-12-04 10:11:00",0,0,-0.42651,0,0,0,0,0
16981,2.17949,5,2,5,4.19816,0,"2018-10-09 10:17:44","2018-12-11 10:14:45",2.82051,3,-4.19816,1,1,0,0,0
16982,7.82956,7.48829,5,4,2.95456,3.12931,"2018-10-09 09:10:55","2018-12-04 08:53:52",-0.34127,-1,0.17475,0,0,1,0,1
16983,7.71942,8.37174,5,5,2.97583,3.37174,"2018-10-09 09:11:18","2018-12-04 08:54:57",0.65232,0,0.39591,1,0,1,0,1
16984,7.1234,7.50193,4,5,2.63622,2.63013,"2018-10-23 08:56:39","2018-12-04 08:54:16",0.37853,1,-0.00608999999999993,1,1,0,0,1
16985,8.28132,7.81521,5,5,3.28132,2.81521,"2018-10-09 09:11:23","2018-12-04 08:55:53",-0.466109999999999,0,-0.46611,0,0,0,0,1
16986,6.44591,7.31768,5,4,1.82091,3.08691,"2018-10-09 09:11:04","2018-12-04 08:56:04",0.871770000000001,-1,1.266,1,0,1,0,1
