"","userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","DiffScore","DiffAccuracy","DiffRT"
"229",16850,6.57337,6.65009,4,4,2.34261,2.16291,0.0767199999999999,0,-0.1797
"230",16851,2.05128,2.17949,2,2,3.63692,3.70562,0.12821,0,0.0687000000000002
"231",16852,5.36113,5.88418,4,4,0.873952,1.65342,0.52305,0,0.779468
"232",16852,8.21146,5.88418,5,4,3.46787,1.65342,-2.32728,-1,-1.81445
"233",16853,3.97436,6.53748,4,4,4.14869,2.30671,2.56312,0,-1.84198
"234",16854,8.78727,3.20513,5,3,4.04368,5,-5.58214,-2,0.95632
"235",16855,7.15352,7.49506,5,5,2.28173,2.87968,0.341539999999999,0,0.59795
"236",16856,2.4359,3.97436,2,4,3.45362,3.2715,1.53846,2,-0.18212
"237",16857,5,8.51397,5,5,0,3.77038,3.51397,0,3.77038
"238",16858,6.18846,6.42768,4,4,2.0859,1.9405,0.23922,0,-0.1454
"239",16859,7.02229,8.07132,4,5,2.79152,3.32773,1.04903,1,0.53621
"240",16860,3.97436,8.22466,4,5,2.75647,3.22466,4.2503,1,0.46819
"241",16861,8.35301,6.00775,5,4,3.35301,1.64877,-2.34526,-1,-1.70424
"242",16861,8.35301,6.00775,5,4,3.35301,1.64877,-2.34526,-1,-1.70424
"243",16862,8.41738,7.10866,4,5,3.9302,2.36507,-1.30872,1,-1.56513
"244",16863,3.84615,6.84758,4,4,2.95597,2.61681,3.00143,0,-0.33916
"245",16864,8.63602,8.40019,5,5,3.76423,3.78481,-0.23583,0,0.0205799999999998
"246",16865,7.27023,3.94737,4,4,2.91126,4.43028,-3.32286,0,1.51902
"247",16866,6.63127,6.84399,4,5,2.38127,1.96899,0.21272,1,-0.41228
"248",16867,7.4681,8.05131,5,5,2.72451,3.30772,0.583210000000001,0,0.58321
"249",16868,6.79757,7.41668,5,5,2.05398,2.67309,0.61911,0,0.61911
"250",16870,6.6815,6.054,5,4,1.6815,1.56682,-0.6275,-1,-0.11468
"251",16871,8.81396,7.58677,5,5,3.81396,2.84318,-1.22719,0,-0.97078
"252",16872,7.35542,7.24673,5,5,2.35542,2.63135,-0.108689999999999,0,0.27593
"253",16873,7.46301,7.94125,4,5,2.97583,3.19766,0.47824,1,0.22183
"254",16874,7.35456,7.8368,4,4,3.25199,3.34962,0.48224,0,0.0976299999999997
"255",16875,7.93726,7.82051,4,5,3.45008,2.82051,-0.116750000000001,1,-0.62957
"256",16876,3.46154,6.55446,3,4,2.81521,2.19549,3.09292,1,-0.61972
"257",16877,7.73851,7.51045,5,5,2.73851,2.63866,-0.22806,0,-0.0998500000000004
"258",16878,7.15761,7.33638,5,5,2.41402,2.59279,0.17877,0,0.17877
"259",16879,6.57947,5.77957,4,5,2.2205,0.907771,-0.7999,1,-1.312729
"260",16880,7.78582,8.62152,5,5,2.91403,3.62152,0.8357,0,0.70749
"261",16881,0,6.8915,4,4,0,2.66073,6.8915,0,2.66073
"262",16881,0,6.83618,4,4,0,2.349,6.83618,0,2.349
"263",16882,6.70973,7.49314,4,4,2.60717,3.00596,0.78341,0,0.39879
"264",16884,5.71863,7.30554,4,5,1.23145,2.56195,1.58691,1,1.3305
"265",16885,2.05128,3.20513,2,3,3.14466,3.73371,1.15385,1,0.58905
"266",16886,7.43947,6.84279,5,4,2.43947,2.59279,-0.59668,-1,0.15332
"267",16887,6.12265,6.82202,4,4,1.74765,2.47991,0.69937,0,0.73226
"268",16888,5.59106,7.33609,4,5,1.23208,2.7207,1.74503,1,1.48862
"269",16889,7.4399,7.29614,4,5,3.08092,2.55255,-0.143759999999999,1,-0.52837
"270",16890,8.44408,6.77689,4,4,3.9569,2.67433,-1.66719,0,-1.28257
"271",16896,7.66356,6.62508,4,4,3.56099,2.39431,-1.03848,0,-1.16668
"272",16897,6.34506,7.40645,4,4,1.98608,3.17568,1.06139,0,1.1896
"273",16899,7.6052,7.36029,5,5,2.73341,2.74491,-0.24491,0,0.0114999999999998
"274",16901,7.01055,5.70787,4,4,2.77978,1.4771,-1.30268,0,-1.30268
"275",16903,7.90831,7.97678,5,5,3.03652,3.10498,0.0684699999999996,0,0.06846
"276",16904,4.92459,4.9806,4,4,0.693822,0.749834,0.0560099999999997,0,0.056012
"277",16906,7.60022,8.86937,5,5,2.85663,3.99757,1.26915,0,1.14094
"278",16907,8.46663,8.04605,5,5,3.59483,3.43066,-0.420580000000001,0,-0.16417
"279",16908,8.37174,7.88644,5,5,3.37174,3.01465,-0.485300000000001,0,-0.35709
"280",17547,7.73554,7.21015,5,5,3.12016,2.33835,-0.525390000000001,0,-0.78181
"281",17548,7.69956,3.84615,5,4,2.95597,2.34048,-3.85341,-1,-0.61549
"282",17549,6.75983,6.96527,4,5,2.40086,2.09348,0.20544,1,-0.30738
"283",17550,2.17949,3.07692,2,3,3.66023,2.46973,0.89743,1,-1.1905
"284",17551,7.69629,7.83916,5,5,2.8245,2.83916,0.142869999999999,0,0.0146600000000001
"285",17552,7.87487,8.29448,5,5,3.00307,3.29448,0.41961,0,0.29141
"286",17553,7.57741,7.2059,5,5,2.83382,2.33411,-0.371510000000001,0,-0.49971
"287",17554,8.78778,8.7366,4,5,4.3006,3.99301,-0.0511800000000004,1,-0.30759
"288",17555,2.5641,2.30769,3,2,2.50845,2.20047,-0.25641,-1,-0.30798
