"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime.x","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime.y"
532,16927,"PUF18a","dccs",6.44926,5,1.82426,"2018-10-16 08:50:18",900,"FA18UCpost","dccs",3.97436,4,2.26832,"2018-12-04 08:56:15"
538,16928,"PUF18a","dccs",5,5,0,"2018-10-09 09:09:38",899,"FA18UCpost","dccs",6.07645,4,1.58927,"2018-12-04 08:55:27"
539,16929,"PUF18a","dccs",5,5,0,"2018-10-09 09:08:58",898,"FA18UCpost","dccs",7.26471,5,2.52112,"2018-12-11 09:00:08"
432,16930,"PUF18","dccs",7.26873,5,2.65334,"2018-10-16 09:04:31",897,"FA18UCpost","dccs",7.64932,5,2.90573,"2018-12-04 08:56:24"
549,16931,"PUF18a","dccs",6.62172,5,1.87172,"2018-10-09 09:09:14",896,"FA18UCpost","dccs",7.16422,5,2.42063,"2018-12-04 08:54:48"
544,16932,"PUF18a","dccs",8.62173,4,4.19316,"2018-10-09 09:09:56",895,"FA18UCpost","dccs",7.67226,4,3.18508,"2018-12-11 08:55:55"
542,16933,"PUF18a","dccs",2.59259,3,3.80559,"2018-10-09 09:10:16",894,"FA18UCpost","dccs",7.24107,4,2.75389,"2018-12-04 08:54:29"
543,16934,"PUF18a","dccs",3.27586,3,2.86609,"2018-10-09 09:10:07",893,"FA18UCpost","dccs",7.97981,5,3.10801,"2018-12-04 08:55:13"
451,16935,"PUF18","dccs",3.875,4,1.90976,"2018-10-23 08:55:51",892,"FA18UCpost","dccs",7.45399,5,2.45399,"2018-12-04 08:56:51"
431,16936,"PUF18","dccs",7.95597,5,2.95597,"2018-10-16 09:05:12",891,"FA18UCpost","dccs",8.87561,5,3.87561,"2018-12-04 08:55:45"
430,16937,"PUF18","dccs",6.34867,4,1.9897,"2018-10-16 09:07:58",890,"FA18UCpost","dccs",6.9056,4,2.41843,"2018-12-04 08:55:28"
429,16938,"PUF18","dccs",7.98816,5,3.22626,"2018-10-23 09:11:30",889,"FA18UCpost","dccs",6.94637,5,2.07458,"2018-12-04 08:57:30"
426,16940,"PUF18","dccs",7.56971,5,2.94471,"2018-10-23 09:08:21",888,"FA18UCpost","dccs",6.91937,5,1.91937,"2018-12-04 08:56:39"
425,16941,"PUF18","dccs",7.5841,5,2.96872,"2018-10-23 09:09:06",887,"FA18UCpost","dccs",8.42936,5,3.68577,"2018-12-04 08:58:07"
435,16945,"PUF18","dccs",2.30769,2,1.48283,"2018-10-16 09:44:54",857,"FA18UCpost","dccs",2.4359,2,1.01539,"2018-12-11 09:37:16"
434,16946,"PUF18","dccs",3.46154,3,2.28795,"2018-10-16 09:47:29",856,"FA18UCpost","dccs",6.28625,4,1.92727,"2018-12-04 09:33:50"
609,16947,"preflank","dccs",3.84615,4,3.29283,"2018-10-16 09:33:12",855,"FA18UCpost","dccs",7.70068,4,3.2135,"2018-12-04 09:30:08"
439,16948,"PUF18","dccs",7.39256,5,2.77717,"2018-10-16 09:32:44",854,"FA18UCpost","dccs",8.23427,5,3.23427,"2018-12-04 09:31:28"
424,16949,"PUF18","dccs",3.71795,4,4.3537,"2018-10-23 09:38:53",853,"FA18UCpost","dccs",7.24115,5,2.36615,"2018-12-11 09:32:03"
433,16950,"PUF18","dccs",6.71632,5,1.71632,"2018-10-16 09:34:33",852,"FA18UCpost","dccs",8.09326,5,3.22147,"2018-12-04 09:34:21"
423,16951,"PUF18","dccs",6.43543,4,2.07646,"2018-10-16 09:38:20",850,"FA18UCpost","dccs",6.40866,5,1.66507,"2018-12-04 09:32:07"
422,16952,"PUF18","dccs",3.58974,4,5,"2018-10-23 09:35:59",849,"FA18UCpost","dccs",3.58974,4,2.82184,"2018-12-04 09:33:50"
421,16953,"PUF18","dccs",7.92301,5,3.05122,"2018-10-16 09:40:23",848,"FA18UCpost","dccs",6.35556,5,1.61197,"2018-12-04 09:32:26"
420,16954,"PUF18","dccs",7.48338,5,2.73979,"2018-10-16 09:39:11",847,"FA18UCpost","dccs",6.88332,5,2.01152,"2018-12-04 09:33:12"
419,16955,"PUF18","dccs",7.15408,4,2.6669,"2018-10-16 09:38:33",846,"FA18UCpost","dccs",7.17263,5,2.55725,"2018-12-04 09:31:48"
418,16956,"PUF18","dccs",3.84615,4,1.49792,"2018-10-16 09:45:06",845,"FA18UCpost","dccs",5.64832,4,1.27332,"2018-12-04 09:33:10"
417,16957,"PUF18","dccs",7.9419,5,2.9419,"2018-10-23 09:39:24",844,"FA18UCpost","dccs",7.58508,5,2.73213,"2018-12-04 09:32:26"
415,16959,"PUF18","dccs",2.375,2,2.80202,"2018-10-30 09:32:04",843,"FA18UCpost","dccs",7.40802,5,2.66443,"2018-12-04 09:33:06"
414,16960,"PUF18","dccs",7.23297,4,2.98297,"2018-11-20 09:41:22",842,"FA18UCpost","dccs",7.60126,4,3.11408,"2018-12-04 09:30:49"
535,16982,"PUF18a","dccs",7.82956,5,2.95456,"2018-10-09 09:10:55",922,"FA18UCpost","dccs",7.48829,4,3.12931,"2018-12-04 08:53:52"
541,16983,"PUF18a","dccs",7.71942,5,2.97583,"2018-10-09 09:11:18",921,"FA18UCpost","dccs",8.37174,5,3.37174,"2018-12-04 08:54:57"
449,16984,"PUF18","dccs",7.1234,4,2.63622,"2018-10-23 08:56:39",920,"FA18UCpost","dccs",7.50193,5,2.63013,"2018-12-04 08:54:16"
528,16985,"PUF18a","dccs",8.28132,5,3.28132,"2018-10-09 09:11:23",919,"FA18UCpost","dccs",7.81521,5,2.81521,"2018-12-04 08:55:53"
527,16986,"PUF18a","dccs",6.44591,5,1.82091,"2018-10-09 09:11:04",918,"FA18UCpost","dccs",7.31768,4,3.08691,"2018-12-04 08:56:04"
547,16987,"PUF18a","dccs",7.43213,4,3.05713,"2018-10-09 09:10:55",917,"FA18UCpost","dccs",7.28795,5,2.54436,"2018-12-04 08:58:22"
530,16988,"PUF18a","dccs",7.36408,4,3.11408,"2018-10-09 09:10:55",916,"FA18UCpost","dccs",7.59407,5,2.97868,"2018-12-04 08:56:08"
526,16990,"PUF18a","dccs",7.13866,5,2.63866,"2018-10-09 09:12:44",915,"FA18UCpost","dccs",6.92,5,2.30462,"2018-12-04 08:54:11"
