"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
177,16907,"PUF18","dccs",8.46663,5,3.59483
176,16908,"PUF18","dccs",8.37174,5,3.37174
175,17547,"PUF18","dccs",7.73554,5,3.12016
174,17548,"PUF18","dccs",7.69956,5,2.95597
173,17549,"PUF18","dccs",6.75983,4,2.40086
172,17550,"PUF18","dccs",2.17949,2,3.66023
171,17551,"PUF18","dccs",7.69629,5,2.8245
170,17552,"PUF18","dccs",7.87487,5,3.00307
169,17553,"PUF18","dccs",7.57741,5,2.83382
168,17554,"PUF18","dccs",8.78778,4,4.3006
167,17555,"PUF18","dccs",2.5641,3,2.50845
166,17556,"PUF18","dccs",6.85039,5,2.1068
165,17557,"PUF18","dccs",2.69231,3,2.36615
164,17558,"PUF18","dccs",7.34687,5,2.34687
163,17559,"PUF18","dccs",7.32578,5,2.45399
162,17560,"PUF18","dccs",7.6754,4,3.18822
161,17561,"PUF18","dccs",3.97436,4,2.92653
160,17562,"PUF18","dccs",7.30637,4,2.81919
159,17563,"PUF18","dccs",7.58945,5,2.84586
158,17564,"PUF18","dccs",2.17949,2,3.77861
157,17565,"PUF18","dccs",6.77781,5,1.77781
156,17566,"PUF18","dccs",7.33103,5,2.71564
155,17567,"PUF18","dccs",6.64291,5,1.89932
154,17568,"PUF18","dccs",2.30769,2,2.12118
153,17569,"PUF18","dccs",6.75694,5,2.01335
152,17570,"PUF18","dccs",3.97436,4,3.33613
151,17571,"PUF18","dccs",7.65974,4,3.17256
150,17572,"PUF18","dccs",7.68168,4,3.32271
149,17573,"PUF18","dccs",0,4,0
148,17574,"PUF18","dccs",8.03212,5,3.03212
147,17575,"PUF18","dccs",6.94641,4,2.71564
146,17576,"PUF18","dccs",7.99397,5,3.37859
145,17577,"PUF18","dccs",7.70828,5,2.83649
144,17578,"PUF18","dccs",7.89198,5,2.89198
143,17579,"PUF18","dccs",2.30769,2,2.10776
142,17580,"PUF18","dccs",7.73979,5,2.73979
141,17581,"PUF18","dccs",6.9796,4,2.49242
140,17582,"PUF18","dccs",2.05128,2,2.09538
139,17583,"PUF18","dccs",2.4359,2,2.64966
138,17584,"PUF18","dccs",2.5641,3,3.61004
137,17585,"PUF18","dccs",8.26759,5,3.524
136,17587,"PUF18","dccs",6.55025,5,2.05025
135,17588,"PUF18","dccs",8.97198,5,4.22839
134,17589,"PUF18","dccs",7.05527,4,2.8245
133,17590,"PUF18","dccs",6.69029,5,1.9467
132,17591,"PUF18","dccs",6.61561,4,2.51305
131,17592,"PUF18","dccs",7.80619,4,3.70362
130,17594,"PUF18","dccs",0,4,0
129,17595,"PUF18","dccs",7.7038,5,3.08841
128,17596,"PUF18","dccs",8.75719,5,4.0136
127,17597,"PUF18","dccs",6.61056,5,1.73877
126,17599,"PUF18","dccs",5.68513,4,1.45436
125,17600,"PUF18","dccs",7.08225,5,2.21046
124,17601,"PUF18","dccs",7.8039,5,2.9321
123,17603,"PUF18","dccs",7.47776,5,2.60597
122,17604,"PUF18","dccs",7.28001,4,2.79283
121,17605,"PUF18","dccs",6.6604,5,1.6604
120,17606,"PUF18","dccs",3.375,3,2.6411
119,17607,"PUF18","dccs",6.23287,5,1.48928
118,17608,"PUF18","dccs",7.21021,4,2.85124
117,17610,"PUF18","dccs",9.04945,5,4.30586
116,17611,"PUF18","dccs",7.0529,4,2.95033
115,17611,"PUF18","dccs",7.24188,5,2.62649
114,17612,"PUF18","dccs",0,4,0
113,17613,"PUF18","dccs",7.42928,5,2.81389
112,17615,"PUF18","dccs",2.05128,2,3.11104
111,17616,"PUF18","dccs",7.5424,5,2.67061
110,17617,"PUF18","dccs",7.8305,5,3.08691
109,17618,"PUF18","dccs",7.44033,4,2.95315
108,17619,"PUF18","dccs",6.95909,4,2.72832
107,17620,"PUF18","dccs",3.71795,4,1.82929
106,17621,"PUF18","dccs",1.79487,2,3.3803
105,17622,"PUF18","dccs",7.47305,4,3.11408
104,17623,"PUF18","dccs",2.69231,3,3.08392
103,17625,"PUF18","dccs",6.63952,5,2.13952
102,17627,"PUF18","dccs",7.46429,5,2.7207
101,17628,"PUF18","dccs",7.05825,4,2.69927
100,17629,"PUF18","dccs",8.63218,5,3.88859
99,17630,"PUF18","dccs",6.99032,4,2.63135
98,17632,"PUF18","dccs",7.6594,5,2.7876
97,17634,"PUF18","dccs",6.44812,4,1.96094
96,17635,"PUF18","dccs",7.42068,4,2.9335
95,17636,"PUF18","dccs",7.27149,5,2.39649
94,17637,"PUF18","dccs",7.28912,5,2.54553
93,17638,"PUF18","dccs",6.57144,4,2.21246
92,17640,"PUF18","dccs",8.19012,5,3.44653
91,17641,"PUF18","dccs",6.8715,5,2.12791
90,17642,"PUF18","dccs",8.16297,5,3.29118
89,17645,"PUF18","dccs",2.05128,2,1.922
88,17651,"PUF18","dccs",8.03812,5,3.16633
87,17653,"PUF18","dccs",6.9786,5,2.1068
86,17654,"PUF18","dccs",2.30769,2,3.71561
85,17655,"PUF18","dccs",7.51535,5,2.51535
84,17657,"PUF18","dccs",6.5121,5,1.89672
83,17659,"PUF18","dccs",2.05128,2,3.76628
82,17661,"PUF18","dccs",7.5532,4,3.06602
81,17662,"PUF18","dccs",7.65662,4,3.16944
80,17663,"PUF18","dccs",8.24206,5,3.49847
79,17665,"PUF18","dccs",2.17949,2,3.82025
78,17666,"PUF18","dccs",2.05128,2,2.6156
77,17667,"PUF18","dccs",6.0208,5,1.40542
76,17668,"PUF18","dccs",7.39844,4,2.91126
75,17669,"PUF18","dccs",6.9222,4,2.43502
74,17670,"PUF18","dccs",2.17949,2,3.34793
73,17671,"PUF18","dccs",7.65485,5,2.91126
72,17672,"PUF18","dccs",2.5641,3,1.9115
71,17677,"PUF18","dccs",3.84615,4,1.31802
70,17678,"PUF18","dccs",6.62907,5,1.88548
69,17679,"PUF18","dccs",6.50086,5,1.88548
68,17680,"PUF18","dccs",8.42393,4,4.19316
67,17681,"PUF18","dccs",2.30769,2,3.3615
66,17682,"PUF18","dccs",7.50522,5,2.76163
65,17683,"PUF18","dccs",8.3095,5,3.4377
64,17684,"PUF18","dccs",6.96928,4,2.73851
63,17685,"PUF18","dccs",6.79798,5,2.18259
62,17686,"PUF18","dccs",3.07692,3,4.02512
61,17687,"PUF18","dccs",6.54284,5,1.79925
60,17688,"PUF18","dccs",7.72832,5,2.72832
59,17689,"PUF18","dccs",8.07197,5,3.07197
58,17690,"PUF18","dccs",7.27119,5,2.6558
57,17691,"PUF18","dccs",7.90988,5,2.90988
56,17695,"PUF18","dccs",3.97436,4,2.52807
55,17696,"PUF18","dccs",3.84615,4,2.64721
54,17697,"PUF18","dccs",5,5,0
53,17697,"PUF18","dccs",6.35483,4,2.12406
52,17698,"PUF18","dccs",5.51907,4,1.41651
51,17699,"PUF18","dccs",3.46154,3,1.54238
50,17700,"PUF18","dccs",7.20817,5,2.59279
49,17701,"PUF18","dccs",3.71795,4,3.50937
48,18617,"PUF18","dccs",7.12843,5,2.51305
47,18618,"PUF18","dccs",7.12584,4,2.63866
46,18661,"PUF18","dccs",7.45054,5,2.83515
45,18703,"PUF18","dccs",7.10157,4,2.61439
553,16997,"PUF18a","dccs",8.0053,5,3.3803
552,16995,"PUF18a","dccs",5.85425,4,1.47925
551,16989,"PUF18a","dccs",7.45748,5,2.83248
550,16992,"PUF18a","dccs",7.74156,5,2.99156
549,16931,"PUF18a","dccs",6.62172,5,1.87172
548,16993,"PUF18a","dccs",6.70846,5,2.20846
547,16987,"PUF18a","dccs",7.43213,4,3.05713
546,17264,"PUF18a","dccs",8.31937,5,3.31937
545,16923,"PUF18a","dccs",6.99111,4,2.86068
544,16932,"PUF18a","dccs",8.62173,4,4.19316
543,16934,"PUF18a","dccs",3.27586,3,2.86609
542,16933,"PUF18a","dccs",2.59259,3,3.80559
