id,userID,accessCode,task,post_nihScore,post_nihAccuracy,post_nihRTScore,,,,,,
750,17098,FA18UCpost,dccs,7.8053,5,2.9335,,,,,,
749,17099,FA18UCpost,dccs,7.42435,5,2.55255,,,,,,
748,17100,FA18UCpost,dccs,6.46196,4,2.10299,,,,,,
747,17344,FA18UCpost,dccs,7.57613,5,2.57613,,,,,,
746,17345,FA18UCpost,dccs,8.27968,5,3.27968,,,,,,
745,17343,FA18UCpost,dccs,8.0779,5,3.46252,,,,,,
744,17346,FA18UCpost,dccs,7.42911,5,2.68552,,,,,,
743,17347,FA18UCpost,dccs,6.51353,4,2.28276,,,,,,
742,18617,FA18UCpost,dccs,7.76104,5,2.88924,,,,,,
741,18618,FA18UCpost,dccs,7.88688,5,3.2715,,,,,,
740,18661,FA18UCpost,dccs,7.34752,5,2.73213,,,,,,
739,18690,FA18UCpost,dccs,7.88036,5,3.26498,,,,,,
738,17547,FA18UCpost,dccs,7.21015,5,2.33835,,,,,,
737,17548,FA18UCpost,dccs,3.84615,4,2.34048,,,,,,
736,17549,FA18UCpost,dccs,6.96527,5,2.09348,,,,,,
735,17550,FA18UCpost,dccs,3.07692,3,2.46973,,,,,,
734,17551,FA18UCpost,dccs,7.83916,5,2.83916,,,,,,
733,17552,FA18UCpost,dccs,8.29448,5,3.29448,,,,,,
732,17553,FA18UCpost,dccs,7.2059,5,2.33411,,,,,,
731,17554,FA18UCpost,dccs,8.7366,5,3.99301,,,,,,
730,17556,FA18UCpost,dccs,7.83173,4,3.34455,,,,,,
729,17557,FA18UCpost,dccs,2.82051,3,4.3537,,,,,,
728,17558,FA18UCpost,dccs,7.67929,5,2.67929,,,,,,
727,17559,FA18UCpost,dccs,6.65342,5,1.65342,,,,,,
726,17560,FA18UCpost,dccs,5.09824,4,0.867466,,,,,,
725,17561,FA18UCpost,dccs,6.63252,4,2.14534,,,,,,
724,17562,FA18UCpost,dccs,6.98431,5,2.24072,,,,,,
