"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore"
647,17685,"PUF18","flanker",7.75806,5,2.87711,1235,"FA18UCpost","flanker",7.03397,5,2.03397
647,17685,"PUF18","flanker",7.75806,5,2.87711,1236,"FA18UCpost","flanker",5,5,0
647,17685,"PUF18","flanker",7.75806,5,2.87711,1237,"FA18UCpost","flanker",5,5,0
648,17684,"PUF18","flanker",6.4187,5,1.89489,1225,"FA18UCpost","flanker",6.83696,5,1.956
649,17683,"PUF18","flanker",7.91999,5,2.91999,1238,"FA18UCpost","flanker",7.93653,5,2.93653
650,17682,"PUF18","flanker",7.38238,5,2.50142,1239,"FA18UCpost","flanker",7.89917,5,2.89917
651,17681,"PUF18","flanker",7.60948,5,2.60948,1240,"FA18UCpost","flanker",8.13896,5,3.13896
652,17680,"PUF18","flanker",8.35924,5,3.47829,1226,"FA18UCpost","flanker",8.46819,5,3.46819
653,17679,"PUF18","flanker",7.55798,5,3.03417,1241,"FA18UCpost","flanker",7.44546,5,2.56451
654,17678,"PUF18","flanker",7.63111,5,2.63111,1242,"FA18UCpost","flanker",6.93028,5,2.16838
655,17677,"PUF18","flanker",6.97532,4,2.6896,1243,"FA18UCpost","flanker",7.8582,5,2.8582
656,17672,"PUF18","flanker",3.80952,4,0,1244,"FA18UCpost","flanker",3.57143,4,1.25169
657,17671,"PUF18","flanker",8.02465,5,3.02465,1245,"FA18UCpost","flanker",7.93755,5,3.05659
658,17670,"PUF18","flanker",8.22082,5,3.33987,1252,"FA18UCpost","flanker",7.73049,5,2.84954
659,17669,"PUF18","flanker",3.57143,4,1.10886,1246,"FA18UCpost","flanker",3.57143,4,0.341436
660,17668,"PUF18","flanker",7.88003,5,2.88003,1247,"FA18UCpost","flanker",6.07418,5,1.19323
661,17667,"PUF18","flanker",7.86981,5,2.86981,1253,"FA18UCpost","flanker",7.66859,5,2.66859
662,17666,"PUF18","flanker",3.21429,3,1.71502,1248,"FA18UCpost","flanker",7.21506,5,2.45316
663,17665,"PUF18","flanker",6.97772,4,2.81106,1254,"FA18UCpost","flanker",3.57143,4,2.24774
664,17663,"PUF18","flanker",3.45238,3,2.56451,1255,"FA18UCpost","flanker",7.46665,5,2.82379
665,17662,"PUF18","flanker",3.45238,3,1.78164,1256,"FA18UCpost","flanker",3.80952,4,1.33793
666,17661,"PUF18","flanker",3.92857,4,2.89031,1249,"FA18UCpost","flanker",6.93901,5,2.41521
667,17659,"PUF18","flanker",7.31941,5,2.7956,1257,"FA18UCpost","flanker",8.02666,5,3.14571
668,17657,"PUF18","flanker",6.92327,5,2.04232,1258,"FA18UCpost","flanker",7.97169,5,3.09074
