"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime"
849,16952,"FA18UCpost","dccs",3.58974,4,2.82184,"2018-12-04 09:33:50"
848,16953,"FA18UCpost","dccs",6.35556,5,1.61197,"2018-12-04 09:32:26"
847,16954,"FA18UCpost","dccs",6.88332,5,2.01152,"2018-12-04 09:33:12"
846,16955,"FA18UCpost","dccs",7.17263,5,2.55725,"2018-12-04 09:31:48"
845,16956,"FA18UCpost","dccs",5.64832,4,1.27332,"2018-12-04 09:33:10"
844,16957,"FA18UCpost","dccs",7.58508,5,2.73213,"2018-12-04 09:32:26"
843,16959,"FA18UCpost","dccs",7.40802,5,2.66443,"2018-12-04 09:33:06"
842,16960,"FA18UCpost","dccs",7.60126,4,3.11408,"2018-12-04 09:30:49"
922,16982,"FA18UCpost","dccs",7.48829,4,3.12931,"2018-12-04 08:53:52"
921,16983,"FA18UCpost","dccs",8.37174,5,3.37174,"2018-12-04 08:54:57"
920,16984,"FA18UCpost","dccs",7.50193,5,2.63013,"2018-12-04 08:54:16"
919,16985,"FA18UCpost","dccs",7.81521,5,2.81521,"2018-12-04 08:55:53"
918,16986,"FA18UCpost","dccs",7.31768,4,3.08691,"2018-12-04 08:56:04"
917,16987,"FA18UCpost","dccs",7.28795,5,2.54436,"2018-12-04 08:58:22"
916,16988,"FA18UCpost","dccs",7.59407,5,2.97868,"2018-12-04 08:56:08"
915,16990,"FA18UCpost","dccs",6.92,5,2.30462,"2018-12-04 08:54:11"
914,16991,"FA18UCpost","dccs",6.16303,5,1.41303,"2018-12-04 08:58:08"
913,16992,"FA18UCpost","dccs",7.46937,5,2.72578,"2018-12-04 08:54:39"
912,16993,"FA18UCpost","dccs",7.47765,5,2.47765,"2018-12-04 08:56:27"
911,16994,"FA18UCpost","dccs",6.50237,4,2.1434,"2018-12-04 08:58:18"
910,16995,"FA18UCpost","dccs",5.63688,4,1.40611,"2018-12-04 09:05:52"
909,16996,"FA18UCpost","dccs",5.87283,4,1.51385,"2018-12-04 09:01:21"
908,16998,"FA18UCpost","dccs",6.899,4,2.41182,"2018-12-04 08:56:26"
886,17006,"FA18UCpost","dccs",8.03359,5,3.03359,"2018-12-04 09:31:38"
885,17007,"FA18UCpost","dccs",7.58552,5,2.97014,"2018-12-04 09:34:39"
884,17008,"FA18UCpost","dccs",7.74522,5,3.00163,"2018-12-11 09:30:50"
883,17009,"FA18UCpost","dccs",6.73155,5,1.85976,"2018-12-04 09:34:36"
882,17010,"FA18UCpost","dccs",7.7845,5,3.04092,"2018-12-04 09:27:42"
881,17011,"FA18UCpost","dccs",6.73922,4,2.50845,"2018-12-04 09:37:50"
880,17012,"FA18UCpost","dccs",3.84615,4,3.37003,"2018-12-04 09:34:53"
879,17013,"FA18UCpost","dccs",7.49586,5,2.62407,"2018-12-04 09:28:45"
878,17014,"FA18UCpost","dccs",6.13009,4,1.89932,"2018-12-04 09:34:44"
877,17015,"FA18UCpost","dccs",0,4,0,"2018-12-04 09:35:06"
876,17016,"FA18UCpost","dccs",7.37694,5,2.37694,"2018-12-04 09:35:11"
875,17017,"FA18UCpost","dccs",7.68503,4,3.32606,"2018-12-04 09:28:47"
874,17018,"FA18UCpost","dccs",3.71795,4,2.43502,"2018-12-11 09:31:23"
873,17019,"FA18UCpost","dccs",7.0629,5,2.31931,"2018-12-04 09:36:05"
872,17020,"FA18UCpost","dccs",0,4,0,"2018-12-04 09:31:15"
871,17021,"FA18UCpost","dccs",7.31349,5,2.4417,"2018-12-04 09:34:23"
870,17022,"FA18UCpost","dccs",8.07895,5,3.20715,"2018-12-04 09:34:00"
869,17023,"FA18UCpost","dccs",8.8831,5,4.0113,"2018-12-04 09:28:44"
868,17024,"FA18UCpost","dccs",3.97436,4,1.49865,"2018-12-04 09:30:17"
867,17025,"FA18UCpost","dccs",7.63148,5,3.0161,"2018-12-04 09:29:31"
866,17026,"FA18UCpost","dccs",8.40273,5,3.40273,"2018-12-04 09:27:22"
865,17027,"FA18UCpost","dccs",6.99333,4,2.50615,"2018-12-04 09:30:11"
864,17028,"FA18UCpost","dccs",7.88644,5,3.01465,"2018-12-04 09:28:00"
863,17029,"FA18UCpost","dccs",8.50782,5,3.76423,"2018-12-04 09:37:54"
862,17030,"FA18UCpost","dccs",8.08212,5,3.21033,"2018-12-04 09:34:31"
861,17031,"FA18UCpost","dccs",4.23077,4,0,"2018-12-04 09:31:46"
860,17032,"FA18UCpost","dccs",7.19022,4,2.70304,"2018-12-04 09:33:33"
859,17033,"FA18UCpost","dccs",3.33333,3,4.46961,"2018-12-04 09:29:40"
841,17034,"FA18UCpost","dccs",6.46155,4,1.97437,"2018-12-04 10:03:16"
840,17035,"FA18UCpost","dccs",7.45857,5,2.84318,"2018-12-04 10:02:25"
839,17036,"FA18UCpost","dccs",7.16231,4,2.80334,"2018-12-04 10:02:01"
838,17037,"FA18UCpost","dccs",6.83541,5,1.96362,"2018-12-04 10:13:49"
837,17038,"FA18UCpost","dccs",8.69766,5,3.69766,"2018-12-04 10:06:35"
836,17039,"FA18UCpost","dccs",2.5641,3,2.30253,"2018-12-04 10:05:33"
835,17040,"FA18UCpost","dccs",7.83207,5,3.21668,"2018-12-04 10:06:54"
834,17041,"FA18UCpost","dccs",7.46184,5,2.46184,"2018-12-04 10:06:51"
833,17042,"FA18UCpost","dccs",8.06316,5,3.19136,"2018-12-04 10:03:56"
832,17043,"FA18UCpost","dccs",7.08326,5,2.21146,"2018-12-04 10:01:30"
831,17044,"FA18UCpost","dccs",7.39213,5,2.39213,"2018-12-04 10:05:33"
830,17045,"FA18UCpost","dccs",6.20716,5,1.46357,"2018-12-04 10:06:49"
