"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore"
1432,17138,"FA18UCpost","flanker",6.76858,4,2.60191
1433,17138,"FA18UCpost","flanker",6.76858,4,2.60191
1434,17137,"FA18UCpost","flanker",7.51099,5,2.51099
1435,17137,"FA18UCpost","flanker",7.51099,5,2.51099
1436,17137,"FA18UCpost","flanker",7.51099,5,2.51099
1437,17136,"FA18UCpost","flanker",7.93502,5,2.93502
1438,17135,"FA18UCpost","flanker",7.86981,5,2.86981
1439,17134,"FA18UCpost","flanker",7.44793,5,2.56698
1440,17133,"FA18UCpost","flanker",7.50262,5,2.50262
1441,17132,"FA18UCpost","flanker",6.9066,5,2.02565
1442,17057,"FA18UCpost","flanker",8.40486,5,3.40486
1443,17051,"FA18UCpost","flanker",7.75822,5,2.75822
1444,17051,"FA18UCpost","flanker",7.75822,5,2.75822
1445,17050,"FA18UCpost","flanker",7.88443,5,2.88443
1446,17049,"FA18UCpost","flanker",7.74785,5,2.8669
1447,17048,"FA18UCpost","flanker",7.66558,4,3.26082
1448,17046,"FA18UCpost","flanker",6.15372,5,1.15372
1449,17046,"FA18UCpost","flanker",6.15372,5,1.15372
1450,17045,"FA18UCpost","flanker",7.44388,5,2.44388
1451,17044,"FA18UCpost","flanker",6.39011,5,1.39011
1452,17042,"FA18UCpost","flanker",8.06143,5,3.06143
1453,17041,"FA18UCpost","flanker",6.92234,5,2.04139
1454,17040,"FA18UCpost","flanker",8.10888,5,3.10888
1455,17039,"FA18UCpost","flanker",7.80246,5,3.04055
1456,17038,"FA18UCpost","flanker",8.17125,5,3.17125
1457,17037,"FA18UCpost","flanker",8.13559,5,3.13559
1458,17036,"FA18UCpost","flanker",8.22341,5,3.22341
1459,17035,"FA18UCpost","flanker",8.01045,5,3.01045
1460,17034,"FA18UCpost","flanker",6.83823,5,1.83823
1461,16960,"FA18UCpost","flanker",7.72617,5,2.84522
1462,16959,"FA18UCpost","flanker",3.80952,4,1.48186
1463,16957,"FA18UCpost","flanker",7.95016,5,2.95016
1464,16955,"FA18UCpost","flanker",7.59312,5,2.59312
1465,16954,"FA18UCpost","flanker",6.71813,5,1.71813
1466,16953,"FA18UCpost","flanker",7.90877,5,3.02782
1467,16951,"FA18UCpost","flanker",7.44887,5,2.68696
1468,16950,"FA18UCpost","flanker",8.08255,5,3.08255
1469,16948,"FA18UCpost","flanker",6.58058,5,1.58058
1470,16947,"FA18UCpost","flanker",8.29955,5,3.65669
1471,16946,"FA18UCpost","flanker",7.16438,5,2.28342
1472,16944,"FA18UCpost","flanker",7.04109,5,2.27919
1473,17033,"FA18UCpost","flanker",8.06139,5,3.41853
1474,17032,"FA18UCpost","flanker",7.5785,5,2.69755
1475,17031,"FA18UCpost","flanker",8.16349,5,3.28254
1476,17029,"FA18UCpost","flanker",8.26262,5,3.26262
1477,17028,"FA18UCpost","flanker",7.90955,5,2.90955
1478,17027,"FA18UCpost","flanker",7.38137,5,2.38137
1479,17026,"FA18UCpost","flanker",8.1902,5,3.1902
1480,17025,"FA18UCpost","flanker",8.00125,5,3.23935
1481,17024,"FA18UCpost","flanker",7.74865,5,2.74865
1482,17023,"FA18UCpost","flanker",5,5,0
1483,17022,"FA18UCpost","flanker",8.12386,5,3.12386
1484,17021,"FA18UCpost","flanker",7.74865,5,2.74865
