"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime"
361,17134,"PUF18","dccs",8.60147,5,3.72968,"2018-10-10 09:12:29"
360,17135,"PUF18","dccs",6.93222,4,2.44504,"2018-10-10 09:12:17"
359,17136,"PUF18","dccs",2.4359,2,2.77978,"2018-10-10 09:11:09"
358,17137,"PUF18","dccs",6.75684,5,2.14146,"2018-10-24 09:03:29"
357,17138,"PUF18","dccs",7.28657,4,2.79939,"2018-10-10 09:04:59"
356,17139,"PUF18","dccs",6.57455,4,2.47199,"2018-10-10 09:07:40"
355,17140,"PUF18","dccs",7.00605,5,2.00605,"2018-10-10 09:07:37"
354,17141,"PUF18","dccs",7.78238,5,2.78238,"2018-10-24 09:10:32"
353,17142,"PUF18","dccs",2.05128,2,3.21987,"2018-10-24 09:10:56"
352,17143,"PUF18","dccs",6.52704,4,2.29627,"2018-11-07 09:08:04"
351,17144,"PUF18","dccs",7.18259,5,2.18259,"2018-10-24 09:13:35"
349,17145,"PUF18","dccs",6.82426,5,1.82426,"2018-10-10 09:05:59"
348,17146,"PUF18","dccs",2.17949,2,3.4483,"2018-10-10 09:06:55"
347,17147,"PUF18","dccs",7.20484,5,2.33305,"2018-10-24 08:56:58"
346,17149,"PUF18","dccs",3.84615,4,0.346104,"2018-10-24 08:57:56"
344,17150,"PUF18","dccs",5,5,0,"2018-10-10 09:14:52"
343,17151,"PUF18","dccs",8.5201,5,3.8951,"2018-10-31 08:53:19"
342,17156,"PUF18","dccs",2.5641,3,3.63306,"2018-10-24 09:45:59"
340,17157,"PUF18","dccs",0,4,0,"2018-10-24 09:48:21"
339,17158,"PUF18","dccs",7.8306,5,2.9588,"2018-10-10 09:47:44"
338,17159,"PUF18","dccs",6.83775,4,2.47878,"2018-10-10 09:47:47"
337,17160,"PUF18","dccs",2.17949,2,0.462495,"2018-10-10 09:47:28"
336,17161,"PUF18","dccs",2.17949,2,2.68178,"2018-10-10 09:47:08"
335,17162,"PUF18","dccs",5,5,0,"2018-10-24 09:49:30"
333,17163,"PUF18","dccs",3.71795,4,0,"2018-10-10 09:42:35"
332,17164,"PUF18","dccs",7.78629,5,2.78629,"2018-10-10 09:40:40"
331,17165,"PUF18","dccs",2.5641,3,2.31826,"2018-10-24 09:46:08"
330,17166,"PUF18","dccs",3.97436,4,2.57376,"2018-10-10 09:39:07"
329,17167,"PUF18","dccs",8.17777,5,3.43418,"2018-10-24 09:46:23"
328,17168,"PUF18","dccs",3.46154,3,2.51997,"2018-10-10 09:47:55"
327,17169,"PUF18","dccs",2.69231,3,1.18411,"2018-10-10 09:45:37"
326,17170,"PUF18","dccs",7.31498,5,2.57139,"2018-10-31 09:33:05"
325,17171,"PUF18","dccs",2.69231,3,0,"2018-11-07 09:39:39"
323,17172,"PUF18","dccs",7.2774,4,2.79022,"2018-10-10 09:46:49"
322,17173,"PUF18","dccs",9.23077,4,5,"2018-10-10 09:48:03"
321,17174,"PUF18","dccs",3.52941,4,3.39927,"2018-10-10 09:50:04"
319,17175,"PUF18","dccs",2.05128,2,2.64599,"2018-12-19 09:45:02"
465,17233,"PUF18","dccs",3.5,4,4.39987,"2018-10-08 18:06:21"
462,17239,"PUF18","dccs",3.25,3,0,"2018-10-08 20:43:26"
461,17248,"PUF18","dccs",8.10606,5,3.23106,"2018-10-08 21:35:10"
546,17264,"PUF18a","dccs",8.31937,5,3.31937,"2018-10-09 09:08:54"
