"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
924,17161,"PUF18","flanker",4.75285,5,0.109993
925,17160,"PUF18","flanker",3.80952,4,1.98643
926,17159,"PUF18","flanker",3.69048,4,1.95157
927,17158,"PUF18","flanker",3.92857,4,2.34814
928,17157,"PUF18","flanker",7.2801,5,2.5182
929,17157,"PUF18","flanker",7.2801,5,2.5182
930,17157,"PUF18","flanker",5,5,0
931,17156,"PUF18","flanker",3.69048,4,0.308048
932,17152,"PUF18","flanker",7.67121,5,2.67121
933,17151,"PUF18","flanker",8.06079,5,3.17984
934,17150,"PUF18","flanker",6.3759,5,1.49495
935,17149,"PUF18","flanker",5.71556,5,0.834609
936,17147,"PUF18","flanker",6.38685,5,1.38685
937,17146,"PUF18","flanker",3.80952,4,1.70802
938,17145,"PUF18","flanker",3.69048,4,1.90177
939,17144,"PUF18","flanker",7.63623,5,2.63623
940,17143,"PUF18","flanker",3.69048,4,1.73696
941,17142,"PUF18","flanker",7.3388,5,2.57689
942,17141,"PUF18","flanker",7.12293,5,2.48008
943,17140,"PUF18","flanker",8.18847,5,3.18847
944,17139,"PUF18","flanker",3.57143,4,0
945,17138,"PUF18","flanker",7.12691,4,3.07929
946,17137,"PUF18","flanker",7.28809,5,2.64524
947,17136,"PUF18","flanker",7.13833,5,2.49547
948,17135,"PUF18","flanker",7.57788,5,2.93502
949,17134,"PUF18","flanker",4.7619,5,0
950,17133,"PUF18","flanker",7.56735,5,2.92449
951,17132,"PUF18","flanker",6.88461,5,1.88461
952,17100,"PUF18","flanker",6.80427,5,2.16142
953,17099,"PUF18","flanker",8.14971,5,3.50685
954,17098,"PUF18","flanker",8.53169,5,3.53169
955,17097,"PUF18","flanker",8.2789,5,3.2789
956,17096,"PUF18","flanker",7.83942,5,3.31561
957,17095,"PUF18","flanker",5,5,0
958,17094,"PUF18","flanker",7.66598,5,2.66598
959,17093,"PUF18","flanker",8.20395,5,3.5611
960,17092,"PUF18","flanker",7.73041,5,2.96851
961,17091,"PUF18","flanker",7.02523,5,2.50142
962,17090,"PUF18","flanker",7.95626,5,2.95626
963,17089,"PUF18","flanker",7.60282,5,2.84092
964,17088,"PUF18","flanker",7.58686,5,2.58686
965,17087,"PUF18","flanker",3.45238,3,2.76784
966,17086,"PUF18","flanker",7.77845,5,3.13559
967,17085,"PUF18","flanker",7.21158,5,2.44967
968,17084,"PUF18","flanker",7.53665,5,2.77474
969,17083,"PUF18","flanker",7.78182,5,3.13896
970,17077,"PUF18","flanker",7.73777,5,2.73777
971,17076,"PUF18","flanker",7.54653,4,3.26082
972,17075,"PUF18","flanker",8.28387,5,3.40291
973,17074,"PUF18","flanker",5.99063,4,1.70492
974,17073,"PUF18","flanker",7.73502,5,2.97312
975,17072,"PUF18","flanker",8.11143,5,3.23048
976,17071,"PUF18","flanker",2.85714,3,1.06945
977,17070,"PUF18","flanker",2.97619,3,2.06384
978,17069,"PUF18","flanker",7.45909,5,2.57814
979,17068,"PUF18","flanker",8.84924,5,3.84924
980,17067,"PUF18","flanker",3.33333,3,0.84382
981,17066,"PUF18","flanker",7.82495,5,3.06305
982,17065,"PUF18","flanker",7.55036,4,3.50274
983,17064,"PUF18","flanker",7.93755,5,3.05659
984,17063,"PUF18","flanker",3.45238,3,2.60191
985,17062,"PUF18","flanker",3.45238,3,3.34551
986,17061,"PUF18","flanker",6.68607,4,2.5194
987,17060,"PUF18","flanker",2.97619,3,5
988,17059,"PUF18","flanker",8.12386,5,3.24291
989,17058,"PUF18","flanker",7.66338,5,2.66338
990,17051,"PUF18","flanker",7.70021,5,3.1764
991,17045,"PUF18","flanker",6.47296,5,1.47295
992,17044,"PUF18","flanker",5,5,0
993,17043,"PUF18","flanker",8.21894,5,3.33799
994,16998,"PUF18","flanker",6.35705,5,1.83324
995,16996,"PUF18","flanker",3.57143,4,1.58711
996,16960,"PUF18","flanker",6.94834,4,2.78167
997,16959,"PUF18","flanker",5.78898,4,1.50327
998,16958,"PUF18","flanker",8.35519,5,3.47424
999,16957,"PUF18","flanker",8.13559,5,3.13559
1000,16956,"PUF18","flanker",7.58695,5,2.94409
1001,16955,"PUF18","flanker",7.911,5,3.1491
1002,16954,"PUF18","flanker",7.87127,5,2.87127
1003,16953,"PUF18","flanker",7.74347,5,3.10061
1004,16952,"PUF18","flanker",3.57143,4,1.76636
1005,16951,"PUF18","flanker",6.68053,5,2.03767
1006,16949,"PUF18","flanker",8.20586,5,3.20586
1007,16941,"PUF18","flanker",3.92857,4,2.68828
1008,16940,"PUF18","flanker",7.35524,4,3.06953
1009,16939,"PUF18","flanker",3.33333,3,4.08381
1010,16938,"PUF18","flanker",7.71621,5,2.71621
1011,16937,"PUF18","flanker",6.87462,5,1.99367
1012,16936,"PUF18","flanker",8.10227,5,3.10227
1013,16930,"PUF18","flanker",7.5327,5,2.5327
1014,17298,"PUF18","flanker",4.47352,4,0.4259
