"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"404","PUF18","3277","17062","NA","dccs","64r39ogj8880c26j2fb3u4sms1","pub_tV0yZOaWHG","6.31456","2018-10-24 08:57:59","39","34","4","1","1.95559","6","3","1367.67","1219","265.331","1219","0.5","23","21","1147.62","1029","382.707","1029","0.913043","2019-03-20 15:46:14"
"403","PUF18","3277","17063","NA","dccs","vr5brp4ut7pdk4ut77358glpc4","pub_gU@PSIS2vw","2.05128","2018-10-10 09:06:37","39","16","2","0","3.63499","6","6","614.167","562.5","214.93","562.5","1","23","0","0","0","0","0","0","2019-03-20 15:46:11"
"402","PUF18","3277","17064","NA","dccs","0e0d48cr6vkuic94gjq86baqk3","pub_Z7EgbHScXs","2.5","2018-10-10 09:08:53","40","20","3","0","3.14774","7","7","782.143","704","409.24","704","1","23","3","711","654","111.969","654","0.130435","2019-03-20 15:46:08"
"401","PUF18","3277","17065","NA","dccs","c0rb2h8dc4gti1seau43upe8m1","pub_o2Trto~hLg","7.82751","2018-10-10 09:08:15","39","37","5","1","3.08392","6","5","683.4","725","141.449","725","0.833333","23","22","575.091","549","124.611","549","0.956522","2019-03-20 15:46:06"
"400","PUF18","3277","17066","NA","dccs","612jkq3qtkbosnob67s0960kk0","pub_PVT09K@aoD","3.46154","2018-10-24 09:00:27","39","27","3","0","1.21492","6","4","1632","1714.5","622.893","1714.5","0.666667","23","13","1198.85","790","1660.11","824.5","0.565217","2019-03-20 15:46:04"
"399","PUF18","3277","17067","NA","dccs","m9ki2711vs254890bk4dcmoef7","pub_pkq3U0WqI0","2.5","2018-10-10 09:12:59","26","13","3","0","3.72766","3","3","519","539","54.8088","539","1","13","0","0","0","0","0","0","2019-03-20 15:46:01"
"398","PUF18","3277","17067","NA","dccs","grit901ahjl9bbnqmdal9l80a4","pub_ervD_6Z5gX","3.625","2018-10-24 08:56:50","40","29","4","0","2.82184","7","7","808.143","818","432.9","818","1","23","12","1187.67","913.5","927.382","913.5","0.521739","2019-03-20 15:46:00"
"397","PUF18","3277","17068","NA","dccs","eoflt3i7456pgk77or5itd5dk1","pub_gRCD3OE1VB","7.53218","2018-10-10 09:07:52","39","36","5","1","2.9168","6","4","751.25","783","100.317","783","0.666667","23","22","476.273","481","121.64","479","0.956522","2019-03-20 15:45:57"
"396","PUF18","3277","17069","NA","dccs","npc9f13vibtga9rk41kvs9t827","pub_sMwuNxqLzN","5.91966","2018-10-10 09:12:12","27","23","4","1","1.6604","3","2","1396.5","1396.5","6.36396","1396.5","0.666667","14","11","1043.18","923","482.559","923","0.785714","2019-03-20 15:45:54"
"395","PUF18","3277","17069","NA","dccs","11vm2ovo3nkih59c8tok1acpo6","pub_0LuqHj5uHy","2.125","2018-10-24 08:53:09","40","17","2","0","1.54091","7","4","2165.75","1475.5","1570.96","1475.5","0.571429","23","3","2556.67","1428","2523.03","1428","0.130435","2019-03-20 15:45:53"
"394","PUF18","3277","17070","NA","dccs","fpcpe66s9mltksvr4t68mj0io2","pub_7_D4zkZ~dB","6.86398","2018-10-10 09:10:22","39","34","4","1","2.505","6","4","1053","946.5","252.53","946.5","0.666667","23","20","912.6","741.5","529.381","739","0.869565","2019-03-20 15:45:51"
"393","PUF18","3277","17071","NA","dccs","jvr12so6ktifsp2eoqqf6ompu5","pub_-gTeW@bo_4","7.51909","2018-10-10 09:07:11","39","34","4","1","3.16012","6","3","678.667","700","204.835","700","0.5","23","21","609.381","573","203.103","551","0.913043","2019-03-20 15:45:49"
"392","PUF18","3277","17072","NA","dccs","6rnmvbru2r6ksmchcnsciqckp0","pub_XrbRHiYFY-","6.79285","2018-10-10 09:06:54","39","35","4","1","2.30567","6","4","1099.25","1037.5","296.263","1037.5","0.666667","23","21","1051.62","936","418.157","936","0.913043","2019-03-20 15:45:46"
"391","PUF18","3277","17073","NA","dccs","nun2e5iqctbkrsjjmu15dncs36","pub_o59ZapHT~M","6.66977","2018-10-10 09:04:26","39","35","4","1","2.18259","6","4","1211.25","1098","550.23","1098","0.666667","23","21","1330.05","1076","565.671","1076","0.913043","2019-03-20 15:45:44"
"390","PUF18","3277","17074","NA","dccs","n2bu1dqbtnhs0qsj9suedbqfc6","pub_6dakAloT2M","7.01519","2018-10-24 09:04:00","39","38","5","1","2.1434","6","6","1240.17","1118","500.761","1118","1","23","22","1267.95","1175","500.969","1162","0.956522","2019-03-20 15:45:39"
"389","PUF18","3277","17075","NA","dccs","jv84eibila366j5hrc9kb7res0","pub_NX@X0R5TmZ","6.58921","2018-10-31 09:04:12","39","35","4","1","2.10203","6","4","1215.5","1139.5","513.616","1139.5","0.666667","23","21","1433.19","997","961.039","997","0.913043","2019-03-20 15:45:36"
"388","PUF18","3277","17076","NA","dccs","qssgb9ve7nbtea53jvioi9c1p0","pub_uqOxgDwTSL","2.05128","2018-10-31 09:08:41","39","16","2","0","2.44951","6","6","996.833","971","349.693","971","1","23","0","0","0","0","0","0","2019-03-20 15:45:34"
"387","PUF18","3277","17077","NA","dccs","mnep1hbiftlj0p4c4er9p2j2g4","pub_f4rxGDKp~J","3.66667","2018-11-28 09:09:27","15","11","4","0","2.36185","1","1","1011","1011","0","1011","1","4","0","0","0","0","0","0","2019-03-20 15:45:31"
"386","PUF18","3277","17083","NA","dccs","ue74icnj63bkarl958drp23606","pub_UJEpjwjCAE","7.69332","2018-10-24 10:04:55","39","36","5","1","3.07793","6","4","779.75","727","174.253","727","0.666667","23","22","815.318","665","463.922","661","0.956522","2019-03-20 15:45:20"
"385","PUF18","3277","17083","NA","dccs","rtae3pkb9uab4m43ep8salqof0","pub_0JJgFuvu@m","6.94048","2018-10-10 10:24:15","25","23","5","1","2.34048","3","1","1021","1021","0","1021","0.333333","12","12","1599.67","659","2098.18","659","1","2019-03-20 15:45:19"
"384","PUF18","3277","17084","NA","dccs","amrgbea5ovstr3gvle8to8jps2","pub_n-I@4dZknt","0","2018-10-10 10:22:36","20","18","5","1","0","2","0","0","0","0","0","0","8","8","1536.12","1317","653.267","1317","1","2019-03-20 15:45:17"
